"Step","Group: pbt - rollouts/epi_mean_reward","Group: pbt - rollouts/epi_mean_reward__MIN","Group: pbt - rollouts/epi_mean_reward__MAX"
"1600","4.216666666666666","4.12","4.33"
"3200","3.0933333333333333","2.76","3.27"
"4800","3.22","3.03","3.46"
"6400","3.1999999999999997","2.59","3.75"
"8000","2.473333333333333","2.13","3.08"
"9600","2.5400000000000005","2.22","2.97"
"11200","2.2600000000000002","1.83","2.82"
"12800","2.8433333333333333","2.38","3.15"
"14400","2.9933333333333336","2.76","3.44"
"16000","3.3866666666666667","2.96","3.79"
"17600","4.2299999999999995","3.84","4.87"
"19200","4.603333333333333","3.44","5.75"
"20800","5.706666666666666","5.12","6.26"
"22400","6.71","6.44","7.22"
"24000","8.656666666666666","7.45","10"
"25600","9.38","8.72","10.29"
"27200","9.246666666666668","8.63","10.14"
"28800","10.299999999999999","9.27","11.79"
"30400","11.203333333333333","10.42","12.04"
"32000","11.563333333333333","11.46","11.62"
"33600","13.56","13.32","14.01"
"35200","11.930000000000001","10.83","13.05"
"36800","12.046666666666667","10.88","13.59"
"38400","13.123333333333333","12.67","14.01"
"40000","11.729999999999999","11.12","12.46"
"41600","13.393333333333333","12.6","14.45"
"43200","13.216666666666667","13.14","13.26"
"44800","14.433333333333332","13.75","15.61"
"46400","13.206666666666665","12.83","13.42"
"48000","15.266666666666666","13.89","16.81"
"49600","14.63","13.54","16.32"
"51200","15.096666666666666","14.44","16.22"
"52800","15.293333333333335","14.6","15.72"
"54400","15.603333333333333","14.57","16.26"
"56000","16.583333333333332","16.16","17.17"
"57600","15.796666666666669","15.14","17.01"
"59200","16.856666666666666","14.67","20.19"
"60800","24.77","23.62","26.17"
"62400","23.396666666666665","22.57","24.15"
"64000","21.63333333333333","20.95","22.43"
"65600","20.576666666666664","19.18","22.28"
"67200","22.043333333333333","20.18","23.3"
"68800","19.72","19.39","19.93"
"70400","20.473333333333333","19.26","22.02"
"72000","20.753333333333334","18.53","23.52"
"73600","19.893333333333334","19.53","20.11"
"75200","18.139999999999997","16.4","19.91"
"76800","18.44","17.22","19.09"
"78400","21.363333333333333","18.38","23.71"
"80000","20.71","19.21","23.23"
"81600","21.703333333333333","19.75","22.74"
"83200","19.186666666666667","15.19","21.59"
"84800","20.286666666666665","18.18","22.29"
"86400","19.906666666666666","16.76","23.42"
"88000","18.896666666666665","17.21","20.2"
"89600","17.64","16.41","19.03"
"91200","19.30666666666667","18.17","20.63"
"92800","19.873333333333335","17.72","22.1"
"94400","20.64","19.55","21.57"
"96000","19.30333333333333","14.52","22.81"
"97600","17.763333333333332","17.65","17.98"
"99200","19.486666666666668","19.03","19.87"
"100800","18.436666666666667","17.79","18.97"
"102400","18.59","18.35","18.95"
"104000","19.826666666666664","16.86","22.54"
"105600","20.36","17.77","22.53"
"107200","16.37666666666667","10.31","19.42"
"108800","21.003333333333334","18.48","23.09"
"110400","18.283333333333335","16.35","21.3"
"112000","20.459999999999997","19.09","22.06"
"113600","20.923333333333336","20.32","21.5"
"115200","20.12","18.24","22.78"
"116800","16.959999999999997","10.35","22.02"
"118400","20.37","19.61","21.27"
"120000","20.85","17.17","25.6"
"121600","10.393333333333333","3.89","21.6"
"123200","4.473333333333334","3.3","6.43"
"124800","8.716666666666667","4.37","15.18"
"126400","4.533333333333334","4.07","4.83"
"128000","8.1","1.97","19.19"
"129600","4.239999999999999","3.48","5.62"
"131200","3.9599999999999995","2.96","5.17"
"132800","5.25","4.69","5.56"
"134400","9.06","5.03","14.95"
"136000","6.826666666666667","4.41","9.45"
"137600","11.13","6.77","16.39"
"139200","9.729999999999999","9.48","9.95"
"140800","11.089999999999998","6.48","16.74"
"142400","10.69","10.17","11.32"
"144000","10.806666666666667","9.79","11.98"
"145600","10.363333333333335","9.73","10.72"
"147200","14.796666666666667","11.56","20.82"
"148800","13.899999999999999","10.44","19.47"
"150400","11.476666666666667","8.83","13.61"
"152000","11.333333333333334","9.39","12.68"
"153600","10.766666666666666","10.17","11.51"
"155200","16.45","8.29","22.12"
"156800","14.483333333333333","8.44","22.54"
"158400","17.293333333333333","13.15","24.93"
"160000","14.92","8.61","24.89"
"161600","19.966666666666665","11.94","24.22"
"163200","15.746666666666664","10.24","23.99"
"164800","16.48333333333333","13.16","23.11"
"166400","18.263333333333335","9.48","22.95"
"168000","20.883333333333336","16.62","24.42"
"169600","15.43","10.28","24.68"
"171200","10.186666666666666","8.59","12.37"
"172800","17.44333333333333","11.55","27.33"
"174400","17.669999999999998","12.62","27.35"
"176000","13.666666666666666","12.56","14.69"
"177600","17.143333333333334","11.34","25.78"
"179200","21.569999999999997","11.75","30.3"
"180800","18.813333333333333","15.25","23.33"
"182400","35.96","21.72","44.51"
"184000","25.563333333333333","10.21","34.96"
"185600","19.576666666666664","13.43","31.47"
"187200","18.91","14.07","25.46"
"188800","26.22666666666667","14.14","37.13"
"190400","26.26","17.6","35.19"
"192000","29.723333333333333","26.04","35.85"
"193600","27.55","24.44","30.06"
"195200","27.13","11.73","39.92"
"196800","29.133333333333336","28.58","29.7"
"198400","16.473333333333333","9.3","27.09"
"200000","23.17","11.2","34.39"
"201600","16.526666666666667","11.57","23.95"
"203200","11.96","10.33","14.82"
"204800","14.646666666666667","13.72","15.55"
"206400","31.52","28.48","33.97"
"208000","22.766666666666666","12.56","28.83"
"209600","26.55","17.56","32.57"
"211200","27.899999999999995","16.77","34.33"
"212800","20.663333333333334","12.74","32.19"
"214400","20.846666666666668","14.35","33.58"
"216000","20.10333333333333","12.44","33.01"
"217600","22.24333333333333","9.65","39.4"
"219200","23.810000000000002","13.77","38.5"
"220800","26.11666666666667","15.5","35.59"
"222400","26.626666666666665","11.72","36.43"
"224000","27.883333333333336","12.51","39.55"
"225600","31.840000000000003","28.15","35.46"
"227200","16.086666666666666","13.83","17.93"
"228800","22.37","15.81","31.17"
"230400","29.103333333333335","13.89","40.26"
"232000","21.793333333333333","12.58","36.91"
"233600","31.019999999999996","17.83","40.33"
"235200","40.78666666666666","35.23","46.98"
"236800","23.526666666666667","16.8","34.05"
"238400","21.276666666666667","17.4","28.81"
"240000","24.546666666666667","17.26","36.75"
"241600","25.416666666666668","15.8","42.55"
"243200","44.21","20.83","78.42"
"244800","52.35666666666666","42.47","68.25"
"246400","38.903333333333336","21.1","53.14"
"248000","55.419999999999995","39.72","73.55"
"249600","48.98","42.04","57.52"
"251200","25.276666666666667","12.27","44.76"
"252800","30.669999999999998","17.73","37.66"
"254400","53.81666666666666","33.26","76.31"
"256000","36.58","23.26","49.12"
"257600","43.02333333333334","36.13","51.67"
"259200","33.63","19.31","46.17"
"260800","37.38","18","50.7"
"262400","33.65","17.11","48.5"
"264000","43.449999999999996","37.43","47.96"
"265600","33.413333333333334","15.02","46.87"
"267200","31.156666666666666","15.69","43.13"
"268800","34.589999999999996","15.84","44.78"
"270400","33.96666666666667","23.35","40.84"
"272000","53.60666666666666","39.09","71.94"
"273600","40.18333333333333","19.74","57.73"
"275200","49.39333333333334","39.67","60.52"
"276800","32.86000000000001","20.29","43.02"
"278400","37.080000000000005","21.72","48.03"
"280000","33.52","16.64","42.37"
"281600","29.52","17.54","46.71"
"283200","31.340000000000003","24.01","45.27"
"284800","37.57333333333333","20.82","47.12"
"286400","40.04","22.14","49.89"
"288000","36.35666666666667","17.73","52.81"
"289600","45.126666666666665","20.25","67.97"
"291200","53.25","48.17","63.23"
"292800","53.46","46.9","64.51"
"294400","45.379999999999995","41.72","50.32"
"296000","49.78","46.79","51.71"
"297600","46.56","45.77","47.27"
"299200","46.03666666666667","40.02","52.94"
"300800","43.74","37.22","49.02"
"302400","26.396666666666665","16.01","39.72"
"304000","31.063333333333333","19.13","46.39"
"305600","32.86000000000001","22.19","44.54"
"307200","46.846666666666664","34.03","54.01"
"308800","66.83333333333333","42.15","102.07"
"310400","62.206666666666656","53.86","78.1"
"312000","49.31","47.01","51.53"
"313600","49.81333333333333","48.12","52.38"
"315200","44.57666666666666","22.18","61.9"
"316800","49.22","39.39","55.84"
"318400","31.11","20.23","52.25"
"320000","61.74333333333334","18.75","108.39"
"321600","58.083333333333336","49.98","62.99"
"323200","66.20666666666666","50.69","89.61"
"324800","48.99333333333333","47.65","51.65"
"326400","44.38","28.4","53.65"
"328000","42.47666666666667","20.21","56.1"
"329600","37.02333333333333","16.93","49.89"
"331200","42.913333333333334","21.52","54.79"
"332800","48.17666666666667","46.7","51.05"
"334400","54.25333333333333","44.11","74.28"
"336000","43.64000000000001","22.73","67.39"
"337600","51.54333333333333","20.27","80.64"
"339200","66.70333333333333","56.63","82.57"
"340800","53.27333333333333","51.13","56.24"
"342400","30.813333333333333","18.29","48.02"
"344000","60.57333333333333","47.76","83.81"
"345600","49.526666666666664","48.8","50.78"
"347200","46.46333333333333","36.08","53.58"
"348800","63.98","46.55","86.75"
"350400","62.06333333333334","46.52","73.69"
"352000","32.20666666666667","20.32","46.46"
"353600","65.63333333333333","50.08","78.85"
"355200","61.88333333333333","44.72","81.22"
"356800","56.89666666666667","47.72","70.73"
"358400","55.833333333333336","46.32","72.2"
"360000","51.25666666666666","48.31","53.3"
"361600","40.53","17.01","52.95"
"363200","89.57000000000001","56.81","106.79"
"364800","75.18333333333334","53.69","104.44"
"366400","38.68666666666667","21.92","51.18"
"368000","75.81","46.13","91.23"
"369600","65.55666666666667","44.71","100.42"
"371200","55.68","36.69","86.73"
"372800","54.446666666666665","50.09","58.42"
"374400","47.42666666666667","30.37","71.43"
"376000","47.54333333333333","43.82","54.66"
"377600","32.583333333333336","19.86","51.69"
"379200","42.99666666666667","26.95","55.64"
"380800","55.52","43.25","70.32"
"382400","43.60333333333333","23.34","56.09"
"384000","61.71666666666667","50.13","84.53"
"385600","64.00000000000001","42.95","86.28"
"387200","31.23","19.4","47.3"
"388800","61.31666666666667","24.59","81.13"
"390400","57.01333333333333","21.36","79.36"
"392000","50.92666666666667","39.91","61.22"
"393600","57.576666666666675","29.07","78.48"
"395200","54.30666666666667","28.6","74.83"
"396800","59.916666666666664","49.98","69.2"
"398400","43.26666666666667","28.61","52.14"
"400000","50.416666666666664","26.97","63.26"
"401600","58.95666666666667","51.18","65.48"
"403200","58.42333333333334","47.37","66.69"
"404800","41.983333333333334","28.55","49.65"
"406400","51.97666666666667","41.99","68.72"
"408000","62.01666666666666","50.62","73.08"
"409600","48.14666666666667","42.53","52.13"
"411200","52.703333333333326","43.76","64.99"
"412800","55.076666666666675","49.14","62.52"
"414400","53.39333333333334","50.28","55.67"
"416000","56.97","54.71","58.5"
"417600","61.57333333333333","52.73","77.95"
"419200","50.660000000000004","46.92","54.49"
"420800","84.78333333333335","31.58","114.51"
"422400","69.79","42.54","116.98"
"424000","49.65333333333333","46.95","54.53"
"425600","69.91666666666667","58.01","91.69"
"427200","65.59333333333333","51.91","82.83"
"428800","49.79","40.38","57.6"
"430400","44.080000000000005","22","62.12"
"432000","44.89666666666667","27.15","57.27"
"433600","55.53333333333333","24.73","86.72"
"435200","54.96666666666667","23.03","114.9"
"436800","53.156666666666666","50.58","56.47"
"438400","52.18666666666667","39.92","60.01"
"440000","50.423333333333325","25.29","67.53"
"441600","58.52","54.29","65.32"
"443200","56.21666666666667","54.46","58.34"
"444800","58.36666666666667","33.75","87.66"
"446400","52.82333333333333","47.56","57.35"
"448000","44.830000000000005","27.09","60.15"
"449600","55.27333333333333","38.67","70.32"
"451200","58.833333333333336","55.3","63.74"
"452800","58.01666666666667","56.68","58.82"
"454400","46.93666666666667","26.27","60.9"
"456000","73.83333333333333","59.38","94.47"
"457600","68.26","56.51","87.65"
"459200","55.98333333333333","32.19","88.08"
"460800","56.196666666666665","48.21","64.64"
"462400","51.723333333333336","39.61","58.6"
"464000","48.26","25.51","64.13"
"465600","66.99666666666667","49.27","80.14"
"467200","55.34666666666667","50.2","61.33"
"468800","61.81999999999999","56.72","72.01"
"470400","61.46333333333333","53.8","69.82"
"472000","79.92666666666666","66.5","88.22"
"473600","66.02333333333333","57.94","77.98"
"475200","44.79","25.91","61.3"
"476800","54.89666666666667","53","56.13"
"478400","55.91","52.91","60.78"
"480000","63.81999999999999","49.8","77.66"